Date;Close;Open;High;Low;Volume;Adj Close
11/13/2017;94.49;94.42;94.64;94.40;;94.49
11/10/2017;94.39;94.50;94.65;94.26;;94.39
11/09/2017;94.44;94.88;94.96;94.42;;94.44
11/08/2017;94.87;94.80;94.97;94.78;;94.87
11/07/2017;94.91;94.72;95.15;94.70;;94.91
11/06/2017;94.76;94.87;95.08;94.69;;94.76
11/03/2017;94.94;94.73;95.02;94.41;;94.94
11/02/2017;94.69;94.80;94.80;94.41;;94.69
11/01/2017;94.81;94.55;94.85;94.51;;94.81
10/31/2017;94.55;94.54;94.70;94.45;;94.55
10/30/2017;94.56;94.83;94.90;94.44;;94.56
10/27/2017;94.92;94.72;95.15;94.73;;94.92
10/26/2017;94.61;93.63;94.72;93.48;;94.61
10/25/2017;93.71;93.94;94.01;93.61;;93.71
10/24/2017;93.77;93.83;93.99;93.68;;93.77
